blind_index,invite_code,participant_id,round,json_file,session_id,story_id,selected_model,rating,form_version,feedback_created_at,dialogue_count,story_relevance,story_coherence,story_empathy,story_surprise,story_engagement,story_complexity,character_shaping,ux_story_satisfaction,ux_perceived_story_quality,ux_process_engagement,ux_use_again_intent,comment
1,JUMF-TVDL,blind-01,1,blind-01_JUMF-TVDL/round-01.json,session-6191f0c9-ba71-4772-a778-1db7e5ae261a,ff04ff89-3d89-4dd1-8d82-9ed6648b78a1,openai/gpt-5.4,3,benchmark_emotional_human_v4,2026-05-04T01:50:32.790103,22,3,2,2,4,3,4,3,2,3,2,1,
1,JUMF-TVDL,blind-01,2,blind-01_JUMF-TVDL/round-02.json,session-e2d26a7d-687b-451f-9e86-94a574129b95,c9b809d9-6289-4219-a413-2fe31b6b35a8,anthropic/claude-opus-4.6,3,benchmark_emotional_human_v4,2026-05-04T02:25:33.586237,35,1,2,2,4,3,4,3,2,2,3,3,
1,JUMF-TVDL,blind-01,3,blind-01_JUMF-TVDL/round-03.json,session-3ed66654-476b-4b64-8daa-dc53183e69d0,0a66737a-5d35-4fee-9860-99186a03092b,anthropic/claude-sonnet-4.6,3,benchmark_emotional_human_v4,2026-05-04T03:02:38.047215,32,3,3,2,2,3,4,3,3,3,2,3,
1,JUMF-TVDL,blind-01,4,blind-01_JUMF-TVDL/round-04.json,session-d8ee8c9c-6ddf-4ebb-86f9-5b76b8bfad80,d77b241c-1443-4f16-9e8f-e3e2cf94e141,google/gemini-3.1-pro-preview,3,benchmark_emotional_human_v4,2026-05-04T03:24:48.799200,23,2,2,3,3,4,2,3,2,3,3,3,
2,3C2B-LUWZ,blind-02,1,blind-02_3C2B-LUWZ/round-01.json,session-437a7dbf-9d27-4b08-b154-3358ceb0366a,7dd2fd06-eda0-417c-8e57-317558f01d15,anthropic/claude-opus-4.6,4,benchmark_emotional_human_v4,2026-05-03T20:21:31.281397,48,3,4,3,4,3,4,4,4,4,3,5,
2,3C2B-LUWZ,blind-02,2,blind-02_3C2B-LUWZ/round-02.json,session-4419d534-d5ee-4fa5-a97d-6167a943a5af,dfcc4f53-7e32-4358-b509-e2fa2424865f,anthropic/claude-sonnet-4.6,3,benchmark_emotional_human_v4,2026-05-03T20:47:59.312075,45,3,2,3,4,3,3,3,4,3,3,5,
2,3C2B-LUWZ,blind-02,3,blind-02_3C2B-LUWZ/round-03.json,session-832fb94e-603f-4f9d-85d1-336bf5abc7a9,5ca3a497-aef7-4c7b-a7ed-71caae6d22c7,google/gemini-3.1-pro-preview,3,benchmark_emotional_human_v4,2026-05-03T21:03:51.520463,50,3,4,3,3,3,3,4,3,4,4,5,
2,3C2B-LUWZ,blind-02,4,blind-02_3C2B-LUWZ/round-04.json,session-b8373af0-f673-4b80-bfaf-3b5c0ab3c440,0ac3c617-0b01-4613-ae3c-7c8631559e4d,deepseek/deepseek-v3.2,3,benchmark_emotional_human_v4,2026-05-03T21:22:46.337522,51,4,3,4,3,3,3,3,3,4,4,5,
3,LY7H-H8W8,blind-03,1,blind-03_LY7H-H8W8/round-01.json,session-73d692e9-50c4-4216-99a6-e15a7ed059a7,e56d7da3-040e-42c5-917c-7efd4f0007b2,anthropic/claude-sonnet-4.6,5,benchmark_emotional_human_v4,2026-04-24T21:31:26.256702,35,5,5,5,5,5,5,5,5,5,5,5,Like it!
3,LY7H-H8W8,blind-03,2,blind-03_LY7H-H8W8/round-02.json,session-c8a276ab-95fa-4ea6-b5f1-a8122ce60d0a,6cf0e19b-ff50-47d7-a258-95eab4182dd1,google/gemini-3.1-pro-preview,3,benchmark_emotional_human_v4,2026-05-02T17:46:07.137791,54,4,3,3,3,3,4,4,4,4,4,5,
3,LY7H-H8W8,blind-03,3,blind-03_LY7H-H8W8/round-03.json,session-da67c70d-949e-4356-8402-47745c275a50,529bbf18-0ea6-4094-b3a5-7d79120f7bb4,deepseek/deepseek-v3.2,3,benchmark_emotional_human_v4,2026-05-03T09:55:19.344269,49,3,3,3,3,2,3,4,3,4,4,5,
3,LY7H-H8W8,blind-03,4,blind-03_LY7H-H8W8/round-04.json,session-d46782cb-30ee-4e85-a789-51e630b15cee,970e3feb-dd35-4e7e-9c6d-f22a7650f000,z-ai/glm-5,3,benchmark_emotional_human_v4,2026-05-03T10:35:24.757704,51,3,3,4,2,3,4,3,3,4,3,5,
4,EJ22-XVL9,blind-04,1,blind-04_EJ22-XVL9/round-01.json,session-9e3acff6-afd2-4beb-a213-74f35982c79b,9da19dc9-9f71-4afb-a165-1ddb848e85c9,google/gemini-3.1-pro-preview,3,benchmark_emotional_human_v4,2026-05-02T18:07:22.894060,52,3,3,3,4,3,2,3,4,4,4,5,
4,EJ22-XVL9,blind-04,2,blind-04_EJ22-XVL9/round-02.json,session-61398f55-e23b-48b6-bf6c-573c2f9863d1,6b85c65f-33e2-4bf1-92a1-f66022720d5e,deepseek/deepseek-v3.2,4,benchmark_emotional_human_v4,2026-05-03T17:15:13.982311,51,3,4,3,5,3,4,3,4,4,3,5,
4,EJ22-XVL9,blind-04,3,blind-04_EJ22-XVL9/round-03.json,session-3c5e6605-5b14-479d-ad39-c8603e662ad2,9d219ddf-b02b-4307-ba63-1f729089846d,z-ai/glm-5,3,benchmark_emotional_human_v4,2026-05-03T18:42:55.195110,48,3,4,3,3,3,2,4,4,4,3,5,
4,EJ22-XVL9,blind-04,4,blind-04_EJ22-XVL9/round-04.json,session-1e2bf568-117c-4618-9940-db144bd3257a,a843f461-17a4-4dfd-95b1-4da3d0ca19ce,qwen/qwen3.5-397b-a17b,3,benchmark_emotional_human_v4,2026-05-03T19:45:01.107846,49,3,4,3,3,3,2,3,4,3,4,5,
5,X37W-4V2T,blind-05,1,blind-05_X37W-4V2T/round-01.json,session-0e992469-77d5-4e29-bd3a-f8ea5eeb3950,2c8601e1-d8d0-40b4-baf4-d35cd6bd42eb,deepseek/deepseek-v3.2,3,benchmark_emotional_human_v4,2026-05-02T18:36:59.816378,50,3,4,3,3,3,3,4,4,4,4,5,
5,X37W-4V2T,blind-05,2,blind-05_X37W-4V2T/round-02.json,session-9d9801e4-aefb-4a6e-ae89-2544a582f032,59446c13-1d5c-44be-8921-34d0ef1ff9f6,z-ai/glm-5,3,benchmark_emotional_human_v4,2026-05-03T08:17:50.994419,66,3,3,3,4,4,3,3,4,3,4,5,
